SourceField,TargetField,DataType
Id,OpportunityId,STRING
AccountId,AccountId,STRING
RecordTypeId,RecordTypeId,STRING
Name,Name,STRING
Description,Description,STRING
StageName,StageName,STRING
Amount,Amount,NUMERIC
Probability,Probability,NUMERIC
CloseDate,CloseDate,DATE
Type,Type,STRING
NextStep,NextStep,STRING
LeadSource,LeadSource,STRING
IsClosed,IsClosed,BOOLEAN
IsWon,IsWon,BOOLEAN
ForecastCategory,ForecastCategory,STRING
ForecastCategoryName,ForecastCategoryName,STRING
CampaignId,CampaignId,STRING
HasOpportunityLineItem,HasOpportunityLineItem,BOOLEAN
Pricebook2Id,Pricebook2Id,STRING
OwnerId,OwnerId,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastStageChangeDate,LastStageChangeDatestamp,TIMESTAMP
FiscalQuarter,FiscalQuarter,INTEGER
FiscalYear,FiscalYear,INTEGER
Fiscal,Fiscal,STRING
ContactId,ContactId,STRING
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
HasOpenActivity,HasOpenActivity,BOOLEAN
HasOverdueTask,HasOverdueTask,BOOLEAN
LastAmountChangedHistoryId,LastAmountChangedHistoryId,STRING
LastCloseDateChangedHistoryId,LastCloseDateChangedHistoryId,STRING
