SourceField,TargetField,DataType
Id,AccountId,STRING
IsDeleted,IsDeleted,BOOL
MasterRecordId,MasterRecordId,STRING
Name,Name,STRING
Type,Type,STRING
ParentId,ParentId,STRING
BillingStreet,BillingStreet,STRING
BillingCity,BillingCity,STRING
BillingState,BillingState,STRING
BillingPostalCode,BillingPostalCode,STRING
BillingCountry,BillingCountry,STRING
BillingLatitude,BillingLatitude,FLOAT64
BillingLongitude,BillingLongitude,FLOAT64
BillingGeocodeAccuracy,BillingGeocodeAccuracy,STRING
ShippingStreet,ShippingStreet,STRING
ShippingCity,ShippingCity,STRING
ShippingState,ShippingState,STRING
ShippingPostalCode,ShippingPostalCode,STRING
ShippingCountry,ShippingCountry,STRING
ShippingLatitude,ShippingLatitude,FLOAT64
ShippingLongitude,ShippingLongitude,FLOAT64
ShippingGeocodeAccuracy,ShippingGeocodeAccuracy,STRING
Phone,Phone,STRING
Fax,Fax,STRING
Website,Website,STRING
PhotoUrl,PhotoUrl,STRING
Industry,Industry,STRING
AnnualRevenue,AnnualRevenue,FLOAT64
NumberOfEmployees,NumberOfEmployees,INT64
Description,Description,STRING
OwnerId,OwnerId,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
Jigsaw,Jigsaw,STRING
JigsawCompanyId,JigsawCompanyId,STRING
AccountSource,AccountSource,STRING
SicDesc,SicDesc,STRING
Segmentation__c,Segmentation__c,STRING
Client_Manager__c,Client_Manager__c,STRING
Vat_Number__c,Vat_Number__c,STRING
Data_Quality_Description__c,Data_Quality_Description__c,STRING
Data_Quality_Score__c,Data_Quality_Score__c,FLOAT64
Partner__c,Partner__c,STRING
maps__AssignmentRule__c,maps__AssignmentRule__c,STRING
Region__c,Region__c,STRING
ACC_Accounting__c,ACC_Accounting__c,BOOL
ACC_NALGoogle__c,ACC_NALGoogle__c,BOOL
ACC_FSRGoogle__c,ACC_FSRGoogle__c,STRING
ACC_AESalesforce__c,ACC_AESalesforce__c,STRING
dupcheck__dc3DisableDuplicateCheck__c,dupcheck__dc3DisableDuplicateCheck__c,BOOL
dupcheck__dc3Index__c,dupcheck__dc3Index__c,STRING
dupcheck__dc3UltimateParent__c,dupcheck__dc3UltimateParent__c,STRING
ACC_NOfEmployees__c,ACC_NOfEmployees__c,STRING
ACC_ERPCode__c,ACC_ERPCode__c,STRING
ACC_Revenue__c,ACC_Revenue__c,STRING
ACC_LinkDrive__c,ACC_LinkDrive__c,STRING
